NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
158,2022,2022-05-02,1831,1,-117.1583251953125,32.71676254272461
159,2022,2022-04-21,1850,4,-117.10133361816406,32.576507568359375
160,2022,2022-04-25,555,1,-117.2373504638672,32.80752944946289
161,2022,2022-04-22,1128,5,-117.25260925292967,32.78041076660156
162,2022,2022-09-19,1645,1,-117.08667755126952,33.00001525878906
163,2022,2022-05-18,1947,3,-117.06448364257812,32.752864837646484
164,2022,2022-05-19,520,4,-117.2050323486328,32.75301742553711
165,2022,2022-05-22,1545,7,-116.9778289794922,32.784767150878906
166,2022,2022-05-19,1528,4,-117.23390197753906,32.871780395507805
167,2022,2022-05-15,222,7,-117.14641571044922,32.74845123291016
168,2022,2022-05-27,1614,5,-117.11038970947266,32.78490447998047
169,2022,2022-06-11,2034,6,-117.24111175537108,32.75064849853516
170,2022,2022-06-12,1210,7,-117.04926300048828,32.71202087402344
171,2022,2022-05-28,1425,6,-117.0446319580078,32.68959426879883
172,2022,2022-06-14,1512,2,-117.15637969970705,32.74839782714844
173,2022,2022-06-14,235,2,-117.14404296875,32.920352935791016
174,2022,2022-06-14,2132,2,-117.24002075195312,32.75057601928711
175,2022,2022-11-30,807,3,-117.17305755615234,32.733978271484375
176,2022,2022-07-08,1230,5,-117.22828674316406,32.922271728515625
177,2022,2022-07-26,1608,2,-117.07583618164062,33.02808380126953
178,2022,2022-07-26,1309,2,-117.09882354736328,32.753143310546875
179,2022,2022-08-15,1728,1,-117.24929809570312,32.83378982543945
180,2022,2022-08-15,948,1,-117.12931823730467,32.73923873901367
181,2022,2022-06-15,2219,3,-117.02693176269533,32.711795806884766
182,2022,2022-07-02,13,6,-117.13587188720705,32.74845886230469
183,2022,2022-07-21,1119,4,-117.20614624023438,32.752037048339844
184,2022,2022-07-18,2022,1,-117.17765045166016,32.818050384521484
185,2022,2022-07-12,1843,2,-117.24564361572266,32.7226676940918
186,2022,2022-07-20,2330,3,-117.07286834716795,32.758758544921875
