id,neighbourhood,latitude,longitude,room_type,price
3550876,Midtown,32.73217,-117.16296,Entire home/apt,130
3551265,North Hills,32.73703,-117.11812,Entire home/apt,279
3563654,Linda Vista,32.7748,-117.16742,Entire home/apt,263
3567771,Mission Bay,32.7854,-117.25246,Entire home/apt,753
3569322,Midtown,32.73551,-117.17244,Entire home/apt,641
3591240,North Hills,32.73905,-117.12545,Entire home/apt,199
3593229,North Hills,32.74311,-117.12855,Entire home/apt,105
3639029,Carmel Valley,32.93905,-117.19643,Entire home/apt,3500
3645538,Old Town,32.74491,-117.18296,Entire home/apt,449
3646609,Grant Hill,32.71094,-117.14412,Entire home/apt,169
3662860,Little Italy,32.72113,-117.16661,Entire home/apt,160
3664734,Bay Ho,32.83642,-117.21779,Entire home/apt,98
3667705,Pacific Beach,32.8015,-117.23181,Entire home/apt,301
3676959,Old Town,32.74587,-117.18004,Entire home/apt,142
3705096,Kearny Mesa,32.82023,-117.15945,Entire home/apt,89
3710891,Memorial,32.70177,-117.1368,Entire home/apt,189
3720519,La Jolla,32.82593,-117.25332,Entire home/apt,2600
3791273,University City,32.85305,-117.19401,Entire home/apt,201
3801623,Ocean Beach,32.75277,-117.24103,Entire home/apt,123
3835201,Mission Bay,32.78307,-117.25172,Entire home/apt,395
3877588,Loma Portal,32.73969,-117.23992,Entire home/apt,87
3890004,West University Heights,32.75633,-117.14977,Entire home/apt,323
3894253,Rancho Bernadino,33.04407,-117.06061,Entire home/apt,1099
3898171,Ocean Beach,32.73441,-117.24075,Entire home/apt,199
3904150,East Village,32.71839,-117.15325,Entire home/apt,435
3904615,West University Heights,32.76281,-117.15794,Entire home/apt,368
3908991,North Hills,32.74428,-117.14548,Entire home/apt,105
3922420,Grant Hill,32.70778,-117.13837,Entire home/apt,219
3933664,Ocean Beach,32.73701,-117.25523,Entire home/apt,250
3952335,West University Heights,32.75768,-117.153,Entire home/apt,105
3971583,Ocean Beach,32.73656,-117.25442,Entire home/apt,300
3971929,Ocean Beach,32.73561,-117.25443,Entire home/apt,242
3972167,Ocean Beach,32.73517,-117.25461,Entire home/apt,300
3972197,Ocean Beach,32.73699,-117.25426,Entire home/apt,300
3977368,La Jolla,32.85269,-117.25676,Entire home/apt,505
3984844,University City,32.85713,-117.22632,Entire home/apt,295
3994720,Midtown,32.73952,-117.15954,Entire home/apt,285
4011715,Pacific Beach,32.79447,-117.25375,Entire home/apt,572
4017146,Ocean Beach,32.74752,-117.24781,Entire home/apt,299
4030387,La Jolla,32.85382080078125,-117.25577545166016,Entire home/apt,290
4037397,La Jolla,32.82824,-117.28047,Entire home/apt,480
4038881,Gaslamp Quarter,32.70861,-117.16021,Entire home/apt,143
4146032,Kearny Mesa,32.81907,-117.15863,Entire home/apt,87
4172114,Normal Heights,32.7614,-117.11293,Entire home/apt,137
4174379,North Hills,32.74144,-117.12295,Entire home/apt,138
4191887,Mission Bay,32.76155,-117.25192,Entire home/apt,471
4204480,North Hills,32.74527,-117.14634,Entire home/apt,500
4224169,Pacific Beach,32.79715,-117.25606,Entire home/apt,125
4227110,Mission Bay,32.79372,-117.23447,Entire home/apt,171
4234318,Mission Bay,32.77685,-117.25248,Entire home/apt,820
4254652,La Jolla,32.8299,-117.28017,Entire home/apt,500
4255372,North Hills,32.7511,-117.12744,Entire home/apt,125
4256683,La Jolla,32.82797,-117.28027,Entire home/apt,240
