neighbourhood,latitude,longitude,room_type,price
Balboa Park,32.7185,-117.13608,Entire home/apt,195
Mission Bay,32.7866,-117.25224,Entire home/apt,235
College Area,32.75996,-117.07697,Entire home/apt,152
La Jolla,32.83286,-117.28066,Entire home/apt,290
La Jolla,32.81696,-117.2699,Entire home/apt,782
Pacific Beach,32.793,-117.24564,Entire home/apt,777
Loma Portal,32.75333,-117.22887,Entire home/apt,185
College Area,32.77148,-117.04829,Entire home/apt,90
North Hills,32.7459,-117.14566,Entire home/apt,73
Ocean Beach,32.75044,-117.25094,Entire home/apt,181
Bay Park,32.782,-117.18747,Entire home/apt,875
North Hills,32.75388,-117.13599,Entire home/apt,239
Cortez Hill,32.72214,-117.15844,Entire home/apt,224
Mission Bay,32.78274,-117.25113,Entire home/apt,598
Cortez Hill,32.72145,-117.15908,Entire home/apt,117
Ocean Beach,32.73812,-117.2498,Entire home/apt,320
Mission Bay,32.76248,-117.251,Entire home/apt,338
Mission Valley,32.77327,-117.1479,Entire home/apt,160
Park West,32.72733,-117.16317,Entire home/apt,222
North Hills,32.74856,-117.13092,Entire home/apt,235
Pacific Beach,32.80099,-117.25904,Entire home/apt,829
La Jolla,32.85429,-117.25567,Entire home/apt,300
Mission Bay,32.76073,-117.25069,Entire home/apt,600
North Hills,32.76631,-117.13747,Entire home/apt,1600
East Village,32.70956,-117.15458,Entire home/apt,349
Old Town,32.75247,-117.17128,Entire home/apt,121
Roseville,32.72648,-117.23536,Entire home/apt,192
La Jolla,32.83078,-117.27407,Entire home/apt,499
La Jolla,32.81337,-117.26991,Entire home/apt,180
West University Heights,32.76004,-117.14483,Entire home/apt,273
La Jolla,32.81313,-117.25269,Entire home/apt,535
Wooded Area,32.72328,-117.25507,Entire home/apt,250
