Number,Collision_Date,Collision_Time,Day_Of_Week,Longitude,Latitude
156,2020-11-28,15:02:05,Saturday,-117.07549,32.728
157,2020-12-03,14:05:06,Thursday,-117.19826,32.80282
158,2020-12-14,17:03:08,Monday,-117.16381,32.7209
159,2021-01-21,16:00:00,Thursday,-117.13396,32.95335
160,2021-05-27,20:01:00,Thursday,-117.15924,32.71466
161,2020-01-13,12:05:03,Monday,-117.16756,32.8205
162,2020-02-07,16:05:08,Friday,-117.16921,32.71194
163,2020-02-27,17:05:00,Thursday,-117.10759,32.95097
164,2020-03-02,12:05:05,Monday,-117.22814,32.91323
165,2020-01-24,18:04:02,Friday,-117.06237,32.55869
166,2020-03-23,15:04:01,Monday,-117.14245,32.74844
167,2022-05-11,14:01:04,Wednesday,-117.16512,32.76174
168,2022-05-30,03:00:05,Monday,-117.1545,32.80387
169,2022-06-29,01:00:00,Wednesday,-117.06824,32.56768
170,2022-07-23,04:03:00,Saturday,-117.08282,32.71873
171,2022-08-12,20:00:08,Friday,-117.11314,32.73988
172,2022-11-02,17:00:00,Wednesday,-117.24374,32.94749
173,2021-08-01,15:05:02,Sunday,-117.11596,32.91632
174,2021-06-25,23:01:07,Friday,-117.10837,32.87876
175,2022-01-13,14:02:02,Thursday,-117.14681,32.70438
176,2022-01-20,06:04:05,Thursday,-117.11779,32.71585
177,2022-02-22,23:02:08,Tuesday,-117.04259,32.55779
179,2020-11-07,07:00:00,Saturday,-117.11575,32.89612
180,2021-04-23,23:05:05,Friday,-117.08524,32.6786
181,2021-05-10,04:02:00,Monday,-117.17188,32.76035
182,2021-05-23,01:04:05,Sunday,-117.17793,32.84794
183,2021-06-18,12:02:06,Friday,-117.12396,32.75206
184,2021-07-23,18:04:06,Friday,-117.21498,32.75819
185,2022-06-07,20:01:01,Tuesday,-117.1492,32.70215
186,2022-07-04,20:05:00,Monday,-117.23856,32.79235
187,2022-07-23,23:05:00,Saturday,-117.03276,32.59487
188,2022-10-03,17:05:05,Monday,-117.03183,32.68283
189,2022-10-27,16:03:00,Thursday,-117.16022,32.72197
190,2020-03-10,12:05:01,Tuesday,-117.24087,32.92965
191,2022-03-08,08:03:05,Tuesday,-117.10529,32.7403
192,2022-05-02,16:05:05,Monday,-117.10615,32.75511
193,2022-04-20,10:02:05,Wednesday,-117.06649,32.80777
194,2022-04-24,12:02:00,Sunday,-117.23494,32.78093
195,2022-05-18,13:01:02,Wednesday,-117.16384,32.71883
196,2022-09-18,13:04:05,Sunday,-117.15849,32.79346
197,2021-09-26,11:00:00,Sunday,-117.18402,32.74092
198,2021-10-20,10:05:00,Wednesday,-117.09266,32.58062
