NUMBER,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE
4268,2020,2020-08-04,1850,2,-117.20102691650392,32.80931854248047
4269,2021,2021-06-10,714,4,-117.11548614501952,32.85176467895508
4270,2021,2021-06-02,1454,3,-117.07946014404295,33.01312255859375
4271,2021,2021-06-02,1615,3,-117.22794342041016,32.75688171386719
4272,2021,2021-05-29,1,6,-117.12334442138672,32.693695068359375
4273,2020,2020-09-08,1600,2,-117.23802947998048,32.746620178222656
4274,2021,2021-06-15,1800,2,-117.1092529296875,32.748191833496094
4275,2021,2021-06-11,1805,5,-117.1135482788086,32.73698806762695
4276,2021,2021-06-19,1315,6,-117.1096420288086,32.94229507446289
4277,2021,2021-06-17,725,4,-117.07880401611328,33.0206184387207
4278,2021,2021-06-21,1510,1,-117.15641784667967,32.744583129882805
4279,2021,2021-06-18,1645,5,-117.10798645019533,32.659622192382805
4280,2021,2021-06-03,2248,4,-117.1616668701172,32.72262191772461
4281,2021,2021-06-13,1931,7,-117.12100219726562,32.69229507446289
4282,2020,2020-10-04,1940,7,-117.03849792480467,32.548370361328125
4283,2021,2021-06-19,1415,6,-117.14039611816406,32.699764251708984
4284,2021,2021-06-16,1352,3,-117.18617248535156,32.860698699951165
4285,2021,2021-06-05,1402,6,-117.11215209960938,32.794883728027344
4286,2021,2021-06-18,1755,5,-117.03916931152344,32.617313385009766
4287,2021,2021-06-19,2240,6,-117.11408233642578,32.78348159790039
4288,2021,2021-05-28,1638,5,-117.20726013183594,32.785526275634766
4289,2021,2021-06-15,2155,2,-117.0702667236328,32.72734451293945
4290,2021,2021-06-23,1256,3,-117.24750518798828,32.964702606201165
4291,2021,2021-06-25,1835,5,-117.19302368164062,32.86735916137695
4292,2021,2021-06-26,945,6,-117.14942169189452,32.797027587890625
4293,2021,2021-03-20,1740,6,-117.21206665039062,32.80160903930664
4294,2021,2021-06-26,2047,6,-117.20822143554688,32.759071350097656
4295,2020,2020-06-10,1934,3,-117.0502471923828,32.559600830078125
4296,2021,2021-07-04,2058,7,-117.15511322021484,32.72404098510742
4297,2020,2020-09-06,854,7,-117.23020935058594,32.76131057739258
4298,2020,2020-09-07,1240,1,-117.1592025756836,32.70729064941406
4299,2020,2020-09-07,637,1,-117.15382385253906,32.71781921386719
4300,2020,2020-09-06,1900,7,-117.25110626220705,32.87103271484375
4301,2021,2021-07-07,1259,3,-117.14779663085938,32.716583251953125
4302,2020,2020-09-07,1125,1,-117.16165924072266,32.75185012817383
4303,2020,2020-09-07,155,1,-117.22852325439452,32.823707580566406
4304,2021,2021-07-06,200,2,-117.11492156982422,32.77907943725586
4305,2020,2020-09-09,1115,3,-117.2409896850586,32.80672836303711
4306,2021,2021-07-02,1534,5,-117.20410919189452,32.88823318481445
4307,2021,2021-07-02,1349,5,-117.19645690917967,32.871116638183594
4308,2021,2021-06-29,1720,2,-117.25136566162108,32.97569274902344
4309,2021,2021-07-06,2045,2,-117.10391998291016,32.72645568847656
4310,2021,2021-07-04,54,7,-117.16015625,32.71430206298828
4311,2021,2021-07-07,1446,3,-117.08748626708984,32.58795928955078
4312,2021,2021-07-11,1245,7,-117.23311614990234,32.75617218017578
4313,2021,2021-07-10,1538,6,-117.09992980957033,32.7104606628418
4314,2021,2021-07-15,1755,4,-117.16132354736328,32.774322509765625
4315,2021,2021-07-11,320,7,-117.11940002441406,32.74467468261719
4316,2021,2021-07-12,120,1,-117.15814208984376,32.752140045166016
4317,2021,2021-07-21,1100,3,-117.15641784667967,32.744564056396484
4318,2021,2021-07-19,1720,1,-117.2501220703125,32.97235107421875
4319,2021,2021-07-16,1850,5,-117.18437957763672,32.75939178466797
4320,2021,2021-07-05,1549,1,-117.09067535400392,32.7805061340332
4321,2021,2021-07-03,315,6,-117.15116119384766,32.72414016723633
4322,2021,2021-07-04,35,7,-117.20452117919922,32.76222610473633
4323,2021,2021-07-16,955,5,-117.10183715820312,33.01959609985352
4324,2021,2021-07-21,635,3,-117.11453247070312,32.73722076416016
4325,2021,2021-07-25,230,7,-117.03525543212892,32.85102462768555
4326,2021,2021-07-18,2345,7,-117.15576934814452,32.68763732910156
4327,2021,2021-06-28,2328,1,-117.10899353027344,32.75138854980469
