id,neighbourhood,latitude,longitude,room_type,price
189,Bay Park,32.79125,-117.20184,Entire home/apt,214
190,Midtown,32.74461,-117.17871,Entire home/apt,900
191,North Clairemont,32.83825,-117.19443,Entire home/apt,355
193,Mission Bay,32.76264,-117.25021,Entire home/apt,363
194,North Hills,32.73098,-117.12606,Entire home/apt,120
195,La Jolla,32.82229,-117.2676,Entire home/apt,202
196,Grant Hill,32.71139,-117.14231,Entire home/apt,99
197,East Village,32.71076202392578,-117.15489959716795,Entire home/apt,149
198,Mission Bay,32.78433,-117.25137,Entire home/apt,186
199,Midtown,32.74141,-117.17774,Entire home/apt,128
200,Mission Bay,32.77275,-117.2508,Entire home/apt,352
201,Pacific Beach,32.80348,-117.23679,Entire home/apt,147
202,South Park,32.72111,-117.12341,Entire home/apt,150
203,Northwest,32.64847,-117.08617,Entire home/apt,98
204,Pacific Beach,32.80259,-117.24146,Entire home/apt,194
205,Kensington,32.77018,-117.10637,Entire home/apt,440
206,Mission Bay,32.78531,-117.25401,Entire home/apt,402
207,Mission Bay,32.78524,-117.25375,Entire home/apt,330
209,Midtown,32.74064,-117.17361,Entire home/apt,185
210,Midtown,32.7441,-117.14994,Entire home/apt,180
211,Mission Bay,32.77265,-117.25075,Entire home/apt,341
212,Midtown,32.74226,-117.17433,Entire home/apt,96
213,Mission Bay,32.76416,-117.2515,Entire home/apt,125
214,Mission Bay,32.76416,-117.2515,Entire home/apt,135
215,Grant Hill,32.71276,-117.14387,Entire home/apt,110
216,North Hills,32.74027,-117.12716,Entire home/apt,179
217,North Hills,32.74043,-117.12706,Entire home/apt,149
218,North Hills,32.74054,-117.1274,Entire home/apt,159
219,North Hills,32.74086,-117.12829,Entire home/apt,285
220,North Hills,32.74051,-117.12782,Entire home/apt,189
221,Ocean Beach,32.75133,-117.24466,Entire home/apt,258
222,Loma Portal,32.75008,-117.24284,Entire home/apt,212
225,Old Town,32.75649,-117.18874,Entire home/apt,349
226,Ocean Beach,32.74056,-117.25191,Entire home/apt,179
227,Mission Bay,32.7677,-117.25116,Entire home/apt,269
228,Mission Bay,32.78522,-117.25389,Entire home/apt,419
230,North Hills,32.73898,-117.12886,Entire home/apt,228
231,Ocean Beach,32.73481,-117.24957,Entire home/apt,712
233,Pacific Beach,32.80175,-117.25532,Entire home/apt,203
234,Mission Bay,32.78052,-117.25318,Entire home/apt,753
235,East Village,32.70879,-117.15637,Entire home/apt,155
236,Midtown,32.7451,-117.15332,Entire home/apt,432
237,North Hills,32.75618,-117.13058,Entire home/apt,89
238,La Jolla,32.8093,-117.25843,Entire home/apt,199
239,Mission Bay,32.78574,-117.25386,Entire home/apt,476
241,University City,32.86645,-117.20333,Entire home/apt,245
243,Little Italy,32.72614,-117.16853,Entire home/apt,95
244,Ocean Beach,32.75358,-117.24973,Entire home/apt,228
246,Mission Bay,32.78159,-117.25227,Entire home/apt,306
247,Pacific Beach,32.80741,-117.25703,Entire home/apt,277
248,Bay Park,32.79151,-117.20133,Entire home/apt,95
249,Pacific Beach,32.80291,-117.24146,Entire home/apt,137
250,West University Heights,32.76491,-117.14072,Entire home/apt,158
252,Bay Ho,32.82037,-117.21092,Entire home/apt,569
254,Pacific Beach,32.79872,-117.2573,Entire home/apt,265
255,Marina,32.71204,-117.166924,Entire home/apt,200
256,Moreno Mission,32.76622,-117.18934,Entire home/apt,185
257,Loma Portal,32.74974,-117.2416,Entire home/apt,78
258,Park West,32.72905,-117.1613,Entire home/apt,202
259,North Hills,32.74719,-117.13262,Entire home/apt,165
261,Mission Bay,32.77819,-117.2532,Entire home/apt,144
262,Mission Bay,32.78766,-117.25299,Entire home/apt,1496
263,Normal Heights,32.765,-117.11758,Entire home/apt,288
264,Mission Bay,32.77813,-117.2532,Entire home/apt,725
265,Mission Bay,32.76582,-117.25129,Entire home/apt,389
266,Mission Bay,32.76335,-117.25159,Entire home/apt,375
267,North Hills,32.76512,-117.13188,Entire home/apt,126
268,Mission Bay,32.76636,-117.25105,Entire home/apt,243
269,Loma Portal,32.74362,-117.2359,Entire home/apt,372
270,Mission Bay,32.58179,-117.03184,Entire home/apt,575
271,Mission Bay,32.78391,-117.25155,Entire home/apt,501
272,Mission Bay,32.78391,-117.25155,Entire home/apt,510
273,Mission Bay,32.79045,-117.23346,Entire home/apt,404
274,Balboa Park,32.71778,-117.14451,Entire home/apt,176
277,Mission Bay,32.76011,-117.2496,Entire home/apt,999
278,Talmadge,32.765217,-117.093178,Entire home/apt,168
280,Roseville,32.72607,-117.23269,Entire home/apt,472
281,University City,32.87453,-117.21928,Entire home/apt,250
282,Mission Bay,32.78945,-117.2531,Entire home/apt,367
283,Clairemont Mesa,32.82905,-117.19261,Entire home/apt,120
284,Mission Bay,32.7771,-117.25179,Entire home/apt,588
285,Mission Bay,32.78168,-117.25132,Entire home/apt,505
286,Mission Bay,32.78156,-117.25123,Entire home/apt,655
287,Mission Bay,32.78201,-117.25134,Entire home/apt,586
288,Mission Bay,32.78139,-117.25212,Entire home/apt,470
289,Mission Bay,32.78258,-117.25134,Entire home/apt,473
290,Mission Bay,32.78391,-117.25155,Entire home/apt,650
291,Mission Bay,32.78391,-117.25155,Entire home/apt,553
292,Balboa Park,32.71705,-117.14244,Entire home/apt,112
293,Pacific Beach,32.80893,-117.25787,Entire home/apt,262
294,North Hills,32.75301,-117.14232,Entire home/apt,190
295,Ocean Beach,32.75057,-117.25004,Entire home/apt,228
296,Mission Bay,32.78664,-117.239845,Entire home/apt,1272
297,Little Italy,32.72281,-117.1677,Entire home/apt,220
299,Mission Bay,32.77443,-117.25056,Entire home/apt,2475
300,Mission Bay,32.78412,-117.25174,Entire home/apt,485
301,Mission Bay,32.77305,-117.2504,Entire home/apt,411
302,Mission Bay,32.7748,-117.2525,Entire home/apt,583
303,Mission Bay,32.7748,-117.2524,Entire home/apt,718
304,Mission Bay,32.763119,-117.250954,Entire home/apt,278
305,Talmadge,32.76339,-117.09284,Entire home/apt,369
306,North Hills,32.73772,-117.13299,Entire home/apt,85
307,North Hills,32.73884,-117.1271,Entire home/apt,135
308,Pacific Beach,32.79674,-117.23085,Entire home/apt,581
309,Gaslamp Quarter,32.70904,-117.16071,Entire home/apt,135
311,Mission Bay,32.7676,-117.25137,Entire home/apt,276
313,East Village,32.70948,-117.15443,Entire home/apt,115
314,North Hills,32.74547,-117.13853,Entire home/apt,81
315,Old Town,32.75295,-117.17132,Entire home/apt,178
316,Mission Bay,32.76181,-117.24737,Entire home/apt,229
317,El Cerritos,32.7585,-117.06831,Entire home/apt,97
